event_id,data_id,sta,ptime,stime,pol,source,lat,lon,elv,ptime0,stime0,predict,prob,std
J2016042016013028,D20160420001172,N.KKCH,2016-04-20T16:01:34.352778Z,2016-04-20T16:01:37.310543Z,U,original,32.9982,130.83,-21.0,2016-04-20T16:01:34.180000Z,2016-04-20T16:01:37.050000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.MSIH,2016-04-20T16:01:33.040448Z,2016-04-20T16:01:35.045060Z,D,original,32.7967,130.8199,-199.0,2016-04-20T16:01:33.000000Z,2016-04-20T16:01:34.950000Z,D,1.0,0.0
J2016042016013028,D20160420001172,N.MSMH,2016-04-20T16:01:36.508269Z,2016-04-20T16:01:41.031161Z,U,original,32.6234,130.5584,-279.0,2016-04-20T16:01:36.410000Z,2016-04-20T16:01:40.970000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.MYJH,2016-04-20T16:01:47.694368Z,2016-04-20T16:02:00.397137Z,U,original,31.9812,130.4438,9.0,2016-04-20T16:01:47.410000Z,2016-04-20T16:01:59.920000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.NGSH,2016-04-20T16:01:45.816764Z,2016-04-20T16:01:57.099178Z,U,original,32.6999,129.8625,-46.0,2016-04-20T16:01:45.490000Z,2016-04-20T16:01:56.360000Z,D,1.0,0.0
J2016042016013028,D20160420001172,N.NMNH,2016-04-20T16:01:37.887026Z,2016-04-20T16:01:43.411184Z,U,original,32.9553,131.2207,592.0,2016-04-20T16:01:37.820000Z,2016-04-20T16:01:43.170000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.NRAH,2016-04-20T16:01:44.327321Z,2016-04-20T16:01:54.528364Z,U,original,32.1987,131.1946,134.0,2016-04-20T16:01:44.340000Z,2016-04-20T16:01:53.730000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.NTHH,2016-04-20T16:01:43.899830Z,2016-04-20T16:01:53.790434Z,U,original,33.1525,131.542,62.0,2016-04-20T16:01:43.390000Z,2016-04-20T16:01:52.940000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.OGNH,2016-04-20T16:01:37.659891Z,2016-04-20T16:01:43.019079Z,U,original,33.122,131.0629,306.0,2016-04-20T16:01:37.720000Z,2016-04-20T16:01:42.960000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.SBAH,2016-04-20T16:01:39.178755Z,2016-04-20T16:01:45.640951Z,U,original,32.4754,131.1043,317.0,2016-04-20T16:01:39.050000Z,2016-04-20T16:01:45.110000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.SBSH,2016-04-20T16:01:47.195161Z,2016-04-20T16:01:59.531845Z,U,original,33.1256,129.8102,-191.0,2016-04-20T16:01:46.760000Z,2016-04-20T16:01:58.640000Z,U,0.9966,0.0119
J2016042016013028,D20160420001172,N.SNIH,2016-04-20T16:01:41.042373Z,2016-04-20T16:01:48.857748Z,U,original,33.1306,131.3473,273.0,2016-04-20T16:01:41.030000Z,2016-04-20T16:01:48.820000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.TARH,2016-04-20T16:01:41.082643Z,2016-04-20T16:01:48.927274Z,U,original,33.3674,130.6355,-423.0,2016-04-20T16:01:40.810000Z,2016-04-20T16:01:48.190000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.TKKH,2016-04-20T16:01:41.279684Z,2016-04-20T16:01:49.267459Z,U,original,32.9103,130.1408,-172.0,2016-04-20T16:01:41.080000Z,2016-04-20T16:01:48.590000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.TMNH,2016-04-20T16:01:35.739687Z,2016-04-20T16:01:39.704460Z,U,original,32.9873,130.5608,-47.0,2016-04-20T16:01:35.740000Z,2016-04-20T16:01:39.570000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.TYNH,2016-04-20T16:01:35.036451Z,2016-04-20T16:01:38.490539Z,U,original,32.6344,130.7521,-41.0,2016-04-20T16:01:35.080000Z,2016-04-20T16:01:38.400000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.UKHH,2016-04-20T16:01:39.318771Z,2016-04-20T16:01:45.882678Z,U,original,33.2891,130.817,-12.0,2016-04-20T16:01:39.250000Z,2016-04-20T16:01:45.630000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.UMIH,2016-04-20T16:01:44.929659Z,2016-04-20T16:01:55.567624Z,U,original,33.5608,130.5499,85.0,2016-04-20T16:01:44.310000Z,2016-04-20T16:01:53.920000Z,U,0.9382,0.1136
J2016042016013028,D20160420001172,N.UMWH,2016-04-20T16:01:42.414807Z,2016-04-20T16:01:51.226870Z,U,original,32.8392,131.5357,161.0,2016-04-20T16:01:42.200000Z,,U,0.9971,0.0034
J2016042016013028,D20160420001172,N.YABH,2016-04-20T16:01:36.026017Z,2016-04-20T16:01:40.198719Z,U,original,32.6501,131.0251,346.0,2016-04-20T16:01:35.910000Z,2016-04-20T16:01:40.270000Z,U,1.0,0.0
J2016042016013028,D20160420001172,NAKATS,2016-04-20T16:01:36.501890Z,2016-04-20T16:01:41.020151Z,U,original,33.125,130.8767,540.0,2016-04-20T16:01:36.620000Z,2016-04-20T16:01:40.940000Z,U,1.0,0.0
J2016042016013028,D20160420001172,OKUCHI,2016-04-20T16:01:44.220692Z,2016-04-20T16:01:54.344305Z,K,original,32.1435,130.5962,440.0,2016-04-20T16:01:43.880000Z,,U,1.0,0.0
J2016042016013028,D20160420001172,SUZUYA,2016-04-20T16:01:54.682739Z,2016-04-20T16:02:13.185927Z,K,original,31.5093,130.4527,400.0,2016-04-20T16:01:54.670000Z,,U,1.0,0.0
J2016042016013028,D20160420001172,TAKAZA,2016-04-20T16:01:48.653920Z,2016-04-20T16:02:02.060362Z,U,original,31.9047,131.0857,170.0,2016-04-20T16:01:48.690000Z,2016-04-20T16:02:01.250000Z,U,1.0,0.0
J2016042016013028,D20160420001172,TAMANA,2016-04-20T16:01:35.911039Z,2016-04-20T16:01:40.000247Z,U,original,32.967,130.5305,230.0,2016-04-20T16:01:35.880000Z,2016-04-20T16:01:39.910000Z,U,1.0,0.0
J2016042016013028,D20160420001172,TSUNO,2016-04-20T16:01:46.461043Z,2016-04-20T16:01:58.256864Z,K,original,32.249,131.5022,130.0,2016-04-20T16:01:45.970000Z,,U,1.0,0.0
J2016042016013028,D20160420001172,URESHI,2016-04-20T16:01:45.081953Z,2016-04-20T16:01:55.830333Z,K,original,33.0965,129.9467,160.0,2016-04-20T16:01:44.670000Z,,U,0.9996,0.003
J2016042016013028,D20160420001172,USUKI,2016-04-20T16:01:46.357257Z,2016-04-20T16:01:58.058387Z,K,original,33.069,131.7482,140.0,2016-04-20T16:01:45.880000Z,,U,0.9866,0.0411
