pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std
2024T000000013,KS,GOCB,HH,2024-06-11T23:26:57.034231Z,2024-06-11T23:27:02.265785Z,add,35.348448,126.598183,45.0,,,U,1.0,0.0
2024T000000013,KS,GOSF,EL,2024-06-11T23:27:29.644002Z,2024-06-11T23:28:00.361623Z,add,33.302741,126.182302,20.0,,,D,0.9918,0.0402
2024T000000013,KS,GSGA,HG,2024-06-11T23:27:21.642402Z,2024-06-11T23:27:45.970529Z,add,37.5516,126.8443,91.6,,,D,0.9993,0.0011
2024T000000013,KS,GSNA,HG,2024-06-11T23:27:21.691261Z,2024-06-11T23:27:46.058406Z,add,35.7576,129.0109,220.0,,,D,1.0,0.0
2024T000000013,KS,GUJA,HG,2024-06-11T23:27:25.676665Z,2024-06-11T23:27:53.226368Z,add,33.5504,126.7503,63.0,,,D,0.7751,0.3139
2024T000000013,KS,GUMA,HG,2024-06-11T23:27:15.071349Z,2024-06-11T23:27:34.151780Z,add,36.2347,128.2902,102.0,,,D,0.9984,0.0038
2024T000000013,KS,GUWB,HH,2024-06-11T23:27:17.994756Z,2024-06-11T23:27:39.409888Z,add,36.18242,128.5932,138.9,,,D,1.0,0.0
2024T000000013,KS,GWLA,HG,2024-06-11T23:27:27.372362Z,2024-06-11T23:27:56.276107Z,add,37.2195,128.8212,873.0,,,D,1.0,0.0002
2024T000000013,KS,GWYB,HH,2024-06-11T23:27:10.813147Z,2024-06-11T23:27:26.119250Z,add,34.943289,127.691414,76.0,,,U,0.6799,0.2828
2024T000000013,KS,HA2B,HH,2024-06-11T23:27:28.278887Z,2024-06-11T23:27:57.906490Z,add,33.3925,126.2582,40.0,,,U,0.9976,0.005
2024T000000013,KS,HACA,HG,2024-06-11T23:27:11.907724Z,2024-06-11T23:27:28.016517Z,add,35.4135383,128.1016417,126.0,,,D,0.8942,0.1545
2024T000000013,KS,HAIA,HG,2024-06-11T23:27:15.619400Z,2024-06-11T23:27:35.137520Z,add,34.9444,128.1928,62.0,,,D,0.9977,0.0041
2024T000000013,KS,HAMB,HH,2024-06-11T23:27:06.263917Z,2024-06-11T23:27:18.198078Z,add,35.5115544,127.745693,188.0,,,D,1.0,0.0
2024T000000013,KS,HANB,HH,2024-06-11T23:27:11.802238Z,2024-06-11T23:27:27.833675Z,add,34.554,126.5688,65.0,,,U,0.9335,0.0773
2024T000000013,KS,HAWA,HG,2024-06-11T23:27:10.529713Z,2024-06-11T23:27:25.576366Z,add,34.671,126.3283,44.0,,,U,0.998,0.0047
2024T000000013,KS,HAWB,HH,2024-06-11T23:27:15.190325Z,2024-06-11T23:27:34.365773Z,add,37.084445,126.773925,10.0,,,U,1.0,0.0
2024T000000013,KS,HCNA,HG,2024-06-11T23:27:12.357177Z,2024-06-11T23:27:28.795570Z,add,35.5652,128.17,79.0,,,D,0.9786,0.037
2024T000000013,KS,HEDA,HG,2024-06-11T23:27:13.014115Z,2024-06-11T23:27:30.085809Z,add,34.6064,126.0365,55.0,,,D,0.9929,0.0308
2024T000000013,KS,HESA,HG,2024-06-11T23:27:24.886646Z,2024-06-11T23:27:51.805492Z,add,37.5406,127.9565,249.0,,,D,0.5161,0.1093
2024T000000013,KS,HGDB,HH,2024-06-11T23:27:17.996657Z,2024-06-11T23:27:39.413306Z,add,34.7068,125.2012,45.0,,,D,1.0,0.0
2024T000000013,KS,HGSA,HG,2024-06-11T23:27:08.292181Z,2024-06-11T23:27:21.699292Z,add,36.6579,126.6879,65.0,,,D,0.9008,0.1899
2024T000000013,KS,HMGA,HG,2024-06-11T23:27:28.240127Z,2024-06-11T23:27:57.836781Z,add,36.0761,129.5666,79.0,,,U,0.9365,0.0475
2024T000000013,KS,HMPA,HG,2024-06-11T23:27:00.777813Z,2024-06-11T23:27:08.727893Z,add,35.1413,126.6176,58.0,,,U,1.0,0.0
2024T000000013,KS,HOCA,HG,2024-06-11T23:27:26.263159Z,2024-06-11T23:27:54.281192Z,add,37.6838,127.8801,184.0,,,D,0.8423,0.1686
2024T000000013,KS,HONA,HG,2024-06-11T23:27:09.419949Z,2024-06-11T23:27:23.645989Z,add,36.4457,127.5791,162.0,,,U,0.9532,0.0742
2024T000000013,KS,HSJB,HH,2024-06-11T23:27:08.646934Z,2024-06-11T23:27:22.311616Z,add,36.5668,127.2804,86.0,,,U,1.0,0.0
