net,sta,start,end,lat,lon,elv,digitizer,vel,acc,chan
KS,JJBA,2021-11-13,,37.647925,128.564524,575.0,Centaur,,Titan-PH-A,HG
KS,JJU2,2016-12-16,,33.4305,126.5463,569.0,q330hrs,STS-2.5-A,ES-T-A,HH
KS,JKJA,2019-03-18,,36.2421,129.2151,424.0,q330sp,,ES-DH-A,HG
KS,JLSA,2019-03-18,,35.3574,127.648,541.0,q330sp,,ES-DH-A,HG
KS,JMJ2,2019-03-18,,37.8816,128.7561,108.0,q330hrs,GS-13-A,ES-T-A,EL
KS,JNHA,2018-03-09,,35.1121,128.7536,47.0,q330sp,,ES-DH-A,HG
KS,JNPA,2015-09-30,,36.7956,127.5621,128.0,q330hrs,,ES-DH-A,HG
KS,JNUA,2019-03-18,,36.6908,127.2005,126.0,q330sp,,ES-DH-A,HG
KS,JNYA,2018-03-09,,35.2822,128.7175,74.0,q330sp,,ES-DH-A,HG
KS,JODB,2018-03-09,,34.3115,126.0437,60.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,JOGB,2021-11-11,,37.621027,128.980129,70.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,JSTB,2021-07-07,,37.19218,128.66809,596.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,JUCA,2018-03-09,,35.2423,128.828,56.0,q330sp,,ES-DH-A,HG
KS,JURA,2018-03-09,,37.6147,127.0868,88.0,q330sp,,ES-DH-A,HG
KS,JWJB,2021-11-04,,37.415544,128.050498,299.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,KAWA,2016-12-16,,37.8052,128.8548,133.0,q330sp,,ES-DH-A,HG
KS,KCH2,2016-05-31,,35.614,127.9188,442.0,q330hrs,CMG-40T-1-A,ES-T-A,EL
KS,KESB,2021-11-04,,36.953658,127.604785,0.237,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,KH2B,2020-03-18,,34.6185,127.2757,108.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,KKDA,2019-03-18,,34.4557,127.1222,55.0,q330sp,,ES-DH-A,HG
KS,KMSB,2019-03-18,,36.1059,127.4816,217.8,q330hrs,STS-5A-A,ES-DH-A,HH
KS,KOSB,2018-03-09,,38.6028,128.3595,15.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,KWJ2,2015-09-30,,35.1599,126.9911,263.0,q330hrs,STS-2.5-A,ES-T-A,HH
KS,KWJU,2015-09-30,,35.1599,126.9911,263.0,q330hrs,STS-1-A,,HH
