pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std,sta0
2024T000000013,KS,TBA2,EL,2024-06-11T23:27:27.629342Z,2024-06-11T23:27:56.738287Z,add,37.1224,128.9523,839.0,,,U,1.0,0.0,TBA2
2024T000000013,KS,TEJ2,HG,2024-06-11T23:27:06.280978Z,2024-06-11T23:27:18.227529Z,add,36.37249,127.371137,103.6,,,D,0.9987,0.0033,TEJ2
2024T000000013,KS,TOHA,HG,2024-06-11T23:27:32.475070Z,2024-06-11T23:28:05.453142Z,add,37.507,129.1238,89.6,,,U,0.9955,0.0066,TOHA
2024T000000013,KS,UJBA,HG,2024-06-11T23:27:24.716585Z,2024-06-11T23:27:51.499630Z,add,37.7548,127.1063,118.2,,,D,0.9987,0.0049,UJBA
2024T000000013,KS,UJNA,HG,2024-06-11T23:27:30.842472Z,2024-06-11T23:28:02.517022Z,add,36.9926,129.4135,103.0,,,U,0.9974,0.0087,UJNA
2024T000000013,KS,UNCA,HG,2024-06-11T23:27:24.457495Z,2024-06-11T23:27:51.033648Z,add,35.4695,129.2395,79.0,,,U,1.0,1e-04,UNCA
2024T000000013,KS,USN2,EL,2024-06-11T23:27:22.941563Z,2024-06-11T23:27:48.307161Z,add,35.7024,129.1232,250.0,,,D,1.0,0.0,USN2
2024T000000013,KS,WAJB,HH,2024-06-11T23:26:59.963821Z,2024-06-11T23:27:07.322652Z,add,35.937821,127.293127,185.0,,,D,1.0,0.0,WAJB
2024T000000013,KS,WAN2,EL,2024-06-11T23:27:14.047863Z,2024-06-11T23:27:32.307406Z,add,34.3959,126.7019,77.0,,,U,1.0,0.0,WAN2
2024T000000013,KS,WICA,HG,2024-06-11T23:27:06.719841Z,2024-06-11T23:27:18.985112Z,add,35.7312,127.8015,499.0,,,D,1.0,0.0,WICA
